za_code,za_numeric,eurobarometer_wave,survey_year,survey_quarter,survey_period,survey_month_approx,season_guess,fieldwork_start,fieldwork_end,date_midpoint,time_index,time_granularity,time_confidence,time_status,year_guess,wave_guess,metric_family,metric,group_type,group,value_weighted_0_100,std_weighted_0_100,value_unweighted_0_100,n_total_greece,n_valid_unweighted,n_valid_weighted,valid_weighted_percent,sample_confidence,data_status,source_dataset,source_variables_final,weight_variable,scale,filename,country_variable,greece_rows_inventory,source_full_path,is_overall,is_age_group,is_gender_group,is_15_17,weighted_mean_raw_1_10,weighted_std_raw_1_10,weighted_mean_minus1_plus1,weighted_std_minus1_plus1,source_variable,source_label,source_variables,has_weighted_value,has_valid_weighted_sample,raw_data_status
ZA3387,3387,54.1,2000,Q4,2000-Q4,11,Autumn,,,,1,quarter,medium_wave_derived,locked,,,democracy_satisfaction,democracy_satisfaction_country,age_group,15-17,55.495,28.5323,57.4713,30,29,29,96.67,low,ok,democracy_satisfaction,v53,wght_all,"0=not at all satisfied, 100=very satisfied",ΟΛΟ ZA3387_v1-1-0.sav,isocntry,1002,/content/drive/MyDrive/noraya suv/ΟΛΟ ZA3387_v1-1-0.sav,False,True,False,True,,,,,v53,Q9 DEMOCRACY SATISFACTION - COUNTRY,,True,True,ok
ZA3387,3387,54.1,2000,Q4,2000-Q4,11,Autumn,,,,1,quarter,medium_wave_derived,locked,,,democracy_satisfaction,democracy_satisfaction_country,age_group,18-24,46.3729,26.0967,47.5,122,120,120,98.36,medium,ok,democracy_satisfaction,v53,wght_all,"0=not at all satisfied, 100=very satisfied",ΟΛΟ ZA3387_v1-1-0.sav,isocntry,1002,/content/drive/MyDrive/noraya suv/ΟΛΟ ZA3387_v1-1-0.sav,False,True,False,False,,,,,v53,Q9 DEMOCRACY SATISFACTION - COUNTRY,,True,True,ok
ZA3387,3387,54.1,2000,Q4,2000-Q4,11,Autumn,,,,1,quarter,medium_wave_derived,locked,,,democracy_satisfaction,democracy_satisfaction_country,age_group,25-39,46.2245,29.1728,46.8499,294,291,291,98.98,medium,ok,democracy_satisfaction,v53,wght_all,"0=not at all satisfied, 100=very satisfied",ΟΛΟ ZA3387_v1-1-0.sav,isocntry,1002,/content/drive/MyDrive/noraya suv/ΟΛΟ ZA3387_v1-1-0.sav,False,True,False,False,,,,,v53,Q9 DEMOCRACY SATISFACTION - COUNTRY,,True,True,ok
ZA3387,3387,54.1,2000,Q4,2000-Q4,11,Autumn,,,,1,quarter,medium_wave_derived,locked,,,democracy_satisfaction,democracy_satisfaction_country,age_group,40-54,44.9181,31.8752,46.6667,250,250,250,100.0,medium,ok,democracy_satisfaction,v53,wght_all,"0=not at all satisfied, 100=very satisfied",ΟΛΟ ZA3387_v1-1-0.sav,isocntry,1002,/content/drive/MyDrive/noraya suv/ΟΛΟ ZA3387_v1-1-0.sav,False,True,False,False,,,,,v53,Q9 DEMOCRACY SATISFACTION - COUNTRY,,True,True,ok
ZA3387,3387,54.1,2000,Q4,2000-Q4,11,Autumn,,,,1,quarter,medium_wave_derived,locked,,,democracy_satisfaction,democracy_satisfaction_country,age_group,55+,51.3819,30.2066,50.3311,306,302,302,98.69,high,ok,democracy_satisfaction,v53,wght_all,"0=not at all satisfied, 100=very satisfied",ΟΛΟ ZA3387_v1-1-0.sav,isocntry,1002,/content/drive/MyDrive/noraya suv/ΟΛΟ ZA3387_v1-1-0.sav,False,True,False,False,,,,,v53,Q9 DEMOCRACY SATISFACTION - COUNTRY,,True,True,ok
ZA3387,3387,54.1,2000,Q4,2000-Q4,11,Autumn,,,,1,quarter,medium_wave_derived,locked,,,democracy_satisfaction,democracy_satisfaction_country,all,all,47.9958,29.8718,48.2527,1002,992,992,99.0,high,ok,democracy_satisfaction,v53,wght_all,"0=not at all satisfied, 100=very satisfied",ΟΛΟ ZA3387_v1-1-0.sav,isocntry,1002,/content/drive/MyDrive/noraya suv/ΟΛΟ ZA3387_v1-1-0.sav,True,False,False,False,,,,,v53,Q9 DEMOCRACY SATISFACTION - COUNTRY,,True,True,ok
ZA3387,3387,54.1,2000,Q4,2000-Q4,11,Autumn,,,,1,quarter,medium_wave_derived,locked,,,democracy_satisfaction,democracy_satisfaction_country,education_group,high_education,48.5072,28.7381,47.411,208,206,206,99.04,medium,ok,democracy_satisfaction,v53,wght_all,"0=not at all satisfied, 100=very satisfied",ΟΛΟ ZA3387_v1-1-0.sav,isocntry,1002,/content/drive/MyDrive/noraya suv/ΟΛΟ ZA3387_v1-1-0.sav,False,False,False,False,,,,,,,,True,True,ok
ZA3387,3387,54.1,2000,Q4,2000-Q4,11,Autumn,,,,1,quarter,medium_wave_derived,locked,,,democracy_satisfaction,democracy_satisfaction_country,education_group,low_education,45.6879,30.8675,45.7778,380,375,375,98.68,high,ok,democracy_satisfaction,v53,wght_all,"0=not at all satisfied, 100=very satisfied",ΟΛΟ ZA3387_v1-1-0.sav,isocntry,1002,/content/drive/MyDrive/noraya suv/ΟΛΟ ZA3387_v1-1-0.sav,False,False,False,False,,,,,,,,True,True,ok
ZA3387,3387,54.1,2000,Q4,2000-Q4,11,Autumn,,,,1,quarter,medium_wave_derived,locked,,,democracy_satisfaction,democracy_satisfaction_country,education_group,medium_education,50.1294,29.9338,51.1458,323,320,320,99.07,high,ok,democracy_satisfaction,v53,wght_all,"0=not at all satisfied, 100=very satisfied",ΟΛΟ ZA3387_v1-1-0.sav,isocntry,1002,/content/drive/MyDrive/noraya suv/ΟΛΟ ZA3387_v1-1-0.sav,False,False,False,False,,,,,,,,True,True,ok
ZA3387,3387,54.1,2000,Q4,2000-Q4,11,Autumn,,,,1,quarter,medium_wave_derived,locked,,,democracy_satisfaction,democracy_satisfaction_country,education_group,student_still_studying,48.784,27.4922,50.1832,91,91,91,100.0,low,ok,democracy_satisfaction,v53,wght_all,"0=not at all satisfied, 100=very satisfied",ΟΛΟ ZA3387_v1-1-0.sav,isocntry,1002,/content/drive/MyDrive/noraya suv/ΟΛΟ ZA3387_v1-1-0.sav,False,False,False,False,,,,,,,,True,True,ok
