survey_id,file_name,survey_date_midpoint,survey_year,survey_month,survey_quarter,survey_period,time_status,include_in_time_trend,group_type,group,party,vote_share_weighted_valid,n_party_unweighted,n_valid_vote_unweighted,n_total_group_unweighted,weighted_base_valid,sample_confidence,data_status,include_in_app_draft
SURVEY_01,FinalSample_EuroelectionsENG.sav,2019-04-24 00:00:00,2019.0,4.0,Q2,2019-Q2,auto_from_sav_date_column:Vdatesub,True,gender,female,other_party,21.2483,164,794,814,1605.7839,high,ok,True
SURVEY_01,FinalSample_EuroelectionsENG.sav,2019-04-24 00:00:00,2019.0,4.0,Q2,2019-Q2,auto_from_sav_date_column:Vdatesub,True,gender,female,ΑΝΕΛ,0.7727,7,794,814,1605.7839,high,ok,True
SURVEY_01,FinalSample_EuroelectionsENG.sav,2019-04-24 00:00:00,2019.0,4.0,Q2,2019-Q2,auto_from_sav_date_column:Vdatesub,True,gender,female,Ελληνική Λύση,0.9927,7,794,814,1605.7839,high,ok,True
SURVEY_01,FinalSample_EuroelectionsENG.sav,2019-04-24 00:00:00,2019.0,4.0,Q2,2019-Q2,auto_from_sav_date_column:Vdatesub,True,gender,female,ΚΚΕ,2.9355,24,794,814,1605.7839,high,ok,True
SURVEY_01,FinalSample_EuroelectionsENG.sav,2019-04-24 00:00:00,2019.0,4.0,Q2,2019-Q2,auto_from_sav_date_column:Vdatesub,True,gender,female,ΜέΡΑ25,0.2501,2,794,814,1605.7839,high,ok,True
SURVEY_01,FinalSample_EuroelectionsENG.sav,2019-04-24 00:00:00,2019.0,4.0,Q2,2019-Q2,auto_from_sav_date_column:Vdatesub,True,gender,female,ΝΔ,28.5806,248,794,814,1605.7839,high,ok,True
SURVEY_01,FinalSample_EuroelectionsENG.sav,2019-04-24 00:00:00,2019.0,4.0,Q2,2019-Q2,auto_from_sav_date_column:Vdatesub,True,gender,female,ΠΑΣΟΚ/ΚΙΝΑΛ,5.1496,44,794,814,1605.7839,high,ok,True
SURVEY_01,FinalSample_EuroelectionsENG.sav,2019-04-24 00:00:00,2019.0,4.0,Q2,2019-Q2,auto_from_sav_date_column:Vdatesub,True,gender,female,Πλεύση Ελευθερίας,0.5988,4,794,814,1605.7839,high,ok,True
SURVEY_01,FinalSample_EuroelectionsENG.sav,2019-04-24 00:00:00,2019.0,4.0,Q2,2019-Q2,auto_from_sav_date_column:Vdatesub,True,gender,female,Ποτάμι,1.3635,9,794,814,1605.7839,high,ok,True
SURVEY_01,FinalSample_EuroelectionsENG.sav,2019-04-24 00:00:00,2019.0,4.0,Q2,2019-Q2,auto_from_sav_date_column:Vdatesub,True,gender,female,ΣΥΡΙΖΑ,33.1371,244,794,814,1605.7839,high,ok,True
SURVEY_01,FinalSample_EuroelectionsENG.sav,2019-04-24 00:00:00,2019.0,4.0,Q2,2019-Q2,auto_from_sav_date_column:Vdatesub,True,gender,female,Χρυσή Αυγή,4.9711,41,794,814,1605.7839,high,ok,True
SURVEY_01,FinalSample_EuroelectionsENG.sav,2019-04-24 00:00:00,2019.0,4.0,Q2,2019-Q2,auto_from_sav_date_column:Vdatesub,True,gender,male,other_party,15.8057,131,816,852,1414.5996,high,ok,True
SURVEY_01,FinalSample_EuroelectionsENG.sav,2019-04-24 00:00:00,2019.0,4.0,Q2,2019-Q2,auto_from_sav_date_column:Vdatesub,True,gender,male,ΑΝΕΛ,0.8564,7,816,852,1414.5996,high,ok,True
SURVEY_01,FinalSample_EuroelectionsENG.sav,2019-04-24 00:00:00,2019.0,4.0,Q2,2019-Q2,auto_from_sav_date_column:Vdatesub,True,gender,male,Ελληνική Λύση,2.869,22,816,852,1414.5996,high,ok,True
SURVEY_01,FinalSample_EuroelectionsENG.sav,2019-04-24 00:00:00,2019.0,4.0,Q2,2019-Q2,auto_from_sav_date_column:Vdatesub,True,gender,male,ΚΚΕ,3.8143,32,816,852,1414.5996,high,ok,True
SURVEY_01,FinalSample_EuroelectionsENG.sav,2019-04-24 00:00:00,2019.0,4.0,Q2,2019-Q2,auto_from_sav_date_column:Vdatesub,True,gender,male,ΜέΡΑ25,0.2614,2,816,852,1414.5996,high,ok,True
SURVEY_01,FinalSample_EuroelectionsENG.sav,2019-04-24 00:00:00,2019.0,4.0,Q2,2019-Q2,auto_from_sav_date_column:Vdatesub,True,gender,male,ΝΔ,31.2455,249,816,852,1414.5996,high,ok,True
SURVEY_01,FinalSample_EuroelectionsENG.sav,2019-04-24 00:00:00,2019.0,4.0,Q2,2019-Q2,auto_from_sav_date_column:Vdatesub,True,gender,male,ΠΑΣΟΚ/ΚΙΝΑΛ,8.1874,65,816,852,1414.5996,high,ok,True
SURVEY_01,FinalSample_EuroelectionsENG.sav,2019-04-24 00:00:00,2019.0,4.0,Q2,2019-Q2,auto_from_sav_date_column:Vdatesub,True,gender,male,Πλεύση Ελευθερίας,0.6934,5,816,852,1414.5996,high,ok,True
SURVEY_01,FinalSample_EuroelectionsENG.sav,2019-04-24 00:00:00,2019.0,4.0,Q2,2019-Q2,auto_from_sav_date_column:Vdatesub,True,gender,male,Ποτάμι,0.6671,6,816,852,1414.5996,high,ok,True
SURVEY_01,FinalSample_EuroelectionsENG.sav,2019-04-24 00:00:00,2019.0,4.0,Q2,2019-Q2,auto_from_sav_date_column:Vdatesub,True,gender,male,ΣΥΡΙΖΑ,27.0289,222,816,852,1414.5996,high,ok,True
SURVEY_01,FinalSample_EuroelectionsENG.sav,2019-04-24 00:00:00,2019.0,4.0,Q2,2019-Q2,auto_from_sav_date_column:Vdatesub,True,gender,male,Χρυσή Αυγή,8.5709,75,816,852,1414.5996,high,ok,True
SURVEY_01,FinalSample_EuroelectionsENG.sav,2019-04-24 00:00:00,2019.0,4.0,Q2,2019-Q2,auto_from_sav_date_column:Vdatesub,True,age_group,18-24,other_party,25.7359,49,195,208,280.5131,medium,ok,True
SURVEY_01,FinalSample_EuroelectionsENG.sav,2019-04-24 00:00:00,2019.0,4.0,Q2,2019-Q2,auto_from_sav_date_column:Vdatesub,True,age_group,18-24,ΑΝΕΛ,0.546,1,195,208,280.5131,medium,ok,True
SURVEY_01,FinalSample_EuroelectionsENG.sav,2019-04-24 00:00:00,2019.0,4.0,Q2,2019-Q2,auto_from_sav_date_column:Vdatesub,True,age_group,18-24,Ελληνική Λύση,1.5188,3,195,208,280.5131,medium,ok,True
SURVEY_01,FinalSample_EuroelectionsENG.sav,2019-04-24 00:00:00,2019.0,4.0,Q2,2019-Q2,auto_from_sav_date_column:Vdatesub,True,age_group,18-24,ΚΚΕ,4.9266,9,195,208,280.5131,medium,ok,True
SURVEY_01,FinalSample_EuroelectionsENG.sav,2019-04-24 00:00:00,2019.0,4.0,Q2,2019-Q2,auto_from_sav_date_column:Vdatesub,True,age_group,18-24,ΝΔ,25.8251,50,195,208,280.5131,medium,ok,True
SURVEY_01,FinalSample_EuroelectionsENG.sav,2019-04-24 00:00:00,2019.0,4.0,Q2,2019-Q2,auto_from_sav_date_column:Vdatesub,True,age_group,18-24,ΠΑΣΟΚ/ΚΙΝΑΛ,5.8704,11,195,208,280.5131,medium,ok,True
SURVEY_01,FinalSample_EuroelectionsENG.sav,2019-04-24 00:00:00,2019.0,4.0,Q2,2019-Q2,auto_from_sav_date_column:Vdatesub,True,age_group,18-24,Ποτάμι,0.4936,1,195,208,280.5131,medium,ok,True
SURVEY_01,FinalSample_EuroelectionsENG.sav,2019-04-24 00:00:00,2019.0,4.0,Q2,2019-Q2,auto_from_sav_date_column:Vdatesub,True,age_group,18-24,ΣΥΡΙΖΑ,23.6763,48,195,208,280.5131,medium,ok,True
SURVEY_01,FinalSample_EuroelectionsENG.sav,2019-04-24 00:00:00,2019.0,4.0,Q2,2019-Q2,auto_from_sav_date_column:Vdatesub,True,age_group,18-24,Χρυσή Αυγή,11.4073,23,195,208,280.5131,medium,ok,True
SURVEY_01,FinalSample_EuroelectionsENG.sav,2019-04-24 00:00:00,2019.0,4.0,Q2,2019-Q2,auto_from_sav_date_column:Vdatesub,True,age_group,25-39,other_party,19.0403,66,346,365,604.831,high,ok,True
SURVEY_01,FinalSample_EuroelectionsENG.sav,2019-04-24 00:00:00,2019.0,4.0,Q2,2019-Q2,auto_from_sav_date_column:Vdatesub,True,age_group,25-39,ΑΝΕΛ,0.6535,3,346,365,604.831,high,ok,True
SURVEY_01,FinalSample_EuroelectionsENG.sav,2019-04-24 00:00:00,2019.0,4.0,Q2,2019-Q2,auto_from_sav_date_column:Vdatesub,True,age_group,25-39,Ελληνική Λύση,1.2003,4,346,365,604.831,high,ok,True
SURVEY_01,FinalSample_EuroelectionsENG.sav,2019-04-24 00:00:00,2019.0,4.0,Q2,2019-Q2,auto_from_sav_date_column:Vdatesub,True,age_group,25-39,ΚΚΕ,6.2289,22,346,365,604.831,high,ok,True
SURVEY_01,FinalSample_EuroelectionsENG.sav,2019-04-24 00:00:00,2019.0,4.0,Q2,2019-Q2,auto_from_sav_date_column:Vdatesub,True,age_group,25-39,ΜέΡΑ25,0.2888,1,346,365,604.831,high,ok,True
SURVEY_01,FinalSample_EuroelectionsENG.sav,2019-04-24 00:00:00,2019.0,4.0,Q2,2019-Q2,auto_from_sav_date_column:Vdatesub,True,age_group,25-39,ΝΔ,29.4207,99,346,365,604.831,high,ok,True
SURVEY_01,FinalSample_EuroelectionsENG.sav,2019-04-24 00:00:00,2019.0,4.0,Q2,2019-Q2,auto_from_sav_date_column:Vdatesub,True,age_group,25-39,ΠΑΣΟΚ/ΚΙΝΑΛ,6.5243,23,346,365,604.831,high,ok,True
SURVEY_01,FinalSample_EuroelectionsENG.sav,2019-04-24 00:00:00,2019.0,4.0,Q2,2019-Q2,auto_from_sav_date_column:Vdatesub,True,age_group,25-39,Πλεύση Ελευθερίας,0.2888,1,346,365,604.831,high,ok,True
SURVEY_01,FinalSample_EuroelectionsENG.sav,2019-04-24 00:00:00,2019.0,4.0,Q2,2019-Q2,auto_from_sav_date_column:Vdatesub,True,age_group,25-39,Ποτάμι,0.841,3,346,365,604.831,high,ok,True
SURVEY_01,FinalSample_EuroelectionsENG.sav,2019-04-24 00:00:00,2019.0,4.0,Q2,2019-Q2,auto_from_sav_date_column:Vdatesub,True,age_group,25-39,ΣΥΡΙΖΑ,26.8959,94,346,365,604.831,high,ok,True
SURVEY_01,FinalSample_EuroelectionsENG.sav,2019-04-24 00:00:00,2019.0,4.0,Q2,2019-Q2,auto_from_sav_date_column:Vdatesub,True,age_group,25-39,Χρυσή Αυγή,8.6175,30,346,365,604.831,high,ok,True
SURVEY_01,FinalSample_EuroelectionsENG.sav,2019-04-24 00:00:00,2019.0,4.0,Q2,2019-Q2,auto_from_sav_date_column:Vdatesub,True,age_group,40-54,other_party,22.0015,89,406,419,906.9168,high,ok,True
SURVEY_01,FinalSample_EuroelectionsENG.sav,2019-04-24 00:00:00,2019.0,4.0,Q2,2019-Q2,auto_from_sav_date_column:Vdatesub,True,age_group,40-54,ΑΝΕΛ,0.8002,3,406,419,906.9168,high,ok,True
SURVEY_01,FinalSample_EuroelectionsENG.sav,2019-04-24 00:00:00,2019.0,4.0,Q2,2019-Q2,auto_from_sav_date_column:Vdatesub,True,age_group,40-54,Ελληνική Λύση,2.571,11,406,419,906.9168,high,ok,True
SURVEY_01,FinalSample_EuroelectionsENG.sav,2019-04-24 00:00:00,2019.0,4.0,Q2,2019-Q2,auto_from_sav_date_column:Vdatesub,True,age_group,40-54,ΚΚΕ,3.4982,15,406,419,906.9168,high,ok,True
SURVEY_01,FinalSample_EuroelectionsENG.sav,2019-04-24 00:00:00,2019.0,4.0,Q2,2019-Q2,auto_from_sav_date_column:Vdatesub,True,age_group,40-54,ΜέΡΑ25,0.2502,1,406,419,906.9168,high,ok,True
SURVEY_01,FinalSample_EuroelectionsENG.sav,2019-04-24 00:00:00,2019.0,4.0,Q2,2019-Q2,auto_from_sav_date_column:Vdatesub,True,age_group,40-54,ΝΔ,28.8964,123,406,419,906.9168,high,ok,True
SURVEY_01,FinalSample_EuroelectionsENG.sav,2019-04-24 00:00:00,2019.0,4.0,Q2,2019-Q2,auto_from_sav_date_column:Vdatesub,True,age_group,40-54,ΠΑΣΟΚ/ΚΙΝΑΛ,4.8896,19,406,419,906.9168,high,ok,True
SURVEY_01,FinalSample_EuroelectionsENG.sav,2019-04-24 00:00:00,2019.0,4.0,Q2,2019-Q2,auto_from_sav_date_column:Vdatesub,True,age_group,40-54,Πλεύση Ελευθερίας,0.5169,2,406,419,906.9168,high,ok,True
SURVEY_01,FinalSample_EuroelectionsENG.sav,2019-04-24 00:00:00,2019.0,4.0,Q2,2019-Q2,auto_from_sav_date_column:Vdatesub,True,age_group,40-54,Ποτάμι,1.3006,4,406,419,906.9168,high,ok,True
SURVEY_01,FinalSample_EuroelectionsENG.sav,2019-04-24 00:00:00,2019.0,4.0,Q2,2019-Q2,auto_from_sav_date_column:Vdatesub,True,age_group,40-54,ΣΥΡΙΖΑ,27.7159,104,406,419,906.9168,high,ok,True
SURVEY_01,FinalSample_EuroelectionsENG.sav,2019-04-24 00:00:00,2019.0,4.0,Q2,2019-Q2,auto_from_sav_date_column:Vdatesub,True,age_group,40-54,Χρυσή Αυγή,7.5594,35,406,419,906.9168,high,ok,True
SURVEY_01,FinalSample_EuroelectionsENG.sav,2019-04-24 00:00:00,2019.0,4.0,Q2,2019-Q2,auto_from_sav_date_column:Vdatesub,True,age_group,55+,other_party,14.4855,91,663,674,1228.1226,high,ok,True
SURVEY_01,FinalSample_EuroelectionsENG.sav,2019-04-24 00:00:00,2019.0,4.0,Q2,2019-Q2,auto_from_sav_date_column:Vdatesub,True,age_group,55+,ΑΝΕΛ,0.9593,7,663,674,1228.1226,high,ok,True
SURVEY_01,FinalSample_EuroelectionsENG.sav,2019-04-24 00:00:00,2019.0,4.0,Q2,2019-Q2,auto_from_sav_date_column:Vdatesub,True,age_group,55+,Ελληνική Λύση,1.7661,11,663,674,1228.1226,high,ok,True
SURVEY_01,FinalSample_EuroelectionsENG.sav,2019-04-24 00:00:00,2019.0,4.0,Q2,2019-Q2,auto_from_sav_date_column:Vdatesub,True,age_group,55+,ΚΚΕ,1.4555,10,663,674,1228.1226,high,ok,True
SURVEY_01,FinalSample_EuroelectionsENG.sav,2019-04-24 00:00:00,2019.0,4.0,Q2,2019-Q2,auto_from_sav_date_column:Vdatesub,True,age_group,55+,ΜέΡΑ25,0.3011,2,663,674,1228.1226,high,ok,True
SURVEY_01,FinalSample_EuroelectionsENG.sav,2019-04-24 00:00:00,2019.0,4.0,Q2,2019-Q2,auto_from_sav_date_column:Vdatesub,True,age_group,55+,ΝΔ,31.6326,225,663,674,1228.1226,high,ok,True
SURVEY_01,FinalSample_EuroelectionsENG.sav,2019-04-24 00:00:00,2019.0,4.0,Q2,2019-Q2,auto_from_sav_date_column:Vdatesub,True,age_group,55+,ΠΑΣΟΚ/ΚΙΝΑΛ,7.9989,56,663,674,1228.1226,high,ok,True
SURVEY_01,FinalSample_EuroelectionsENG.sav,2019-04-24 00:00:00,2019.0,4.0,Q2,2019-Q2,auto_from_sav_date_column:Vdatesub,True,age_group,55+,Πλεύση Ελευθερίας,1.0577,6,663,674,1228.1226,high,ok,True
SURVEY_01,FinalSample_EuroelectionsENG.sav,2019-04-24 00:00:00,2019.0,4.0,Q2,2019-Q2,auto_from_sav_date_column:Vdatesub,True,age_group,55+,Ποτάμι,1.0638,7,663,674,1228.1226,high,ok,True
SURVEY_01,FinalSample_EuroelectionsENG.sav,2019-04-24 00:00:00,2019.0,4.0,Q2,2019-Q2,auto_from_sav_date_column:Vdatesub,True,age_group,55+,ΣΥΡΙΖΑ,35.3393,220,663,674,1228.1226,high,ok,True
SURVEY_01,FinalSample_EuroelectionsENG.sav,2019-04-24 00:00:00,2019.0,4.0,Q2,2019-Q2,auto_from_sav_date_column:Vdatesub,True,age_group,55+,Χρυσή Αυγή,3.9403,28,663,674,1228.1226,high,ok,True
SURVEY_01,FinalSample_EuroelectionsENG.sav,2019-04-24 00:00:00,2019.0,4.0,Q2,2019-Q2,auto_from_sav_date_column:Vdatesub,True,education_group,Advanced Technological Educational Institute (public institutions),other_party,19.0084,28,146,153,287.0516,medium,ok,True
SURVEY_01,FinalSample_EuroelectionsENG.sav,2019-04-24 00:00:00,2019.0,4.0,Q2,2019-Q2,auto_from_sav_date_column:Vdatesub,True,education_group,Advanced Technological Educational Institute (public institutions),ΑΝΕΛ,0.4064,1,146,153,287.0516,medium,ok,True
