question_leader_primary,metric_family,metric_name,group_type,group,response_option,share_weighted_valid,survey_year,survey_quarter,sample_confidence
Αλέξης Τσίπρας,leader_approval,Έγκριση/αποδοχή: Αλέξης Τσίπρας,gender,female,negative_approval,62.6069,2019,Q2,high
Αλέξης Τσίπρας,leader_approval,Έγκριση/αποδοχή: Αλέξης Τσίπρας,gender,female,positive_approval,37.3931,2019,Q2,high
Κυριάκος Μητσοτάκης,leader_approval,Έγκριση/αποδοχή: Κυριάκος Μητσοτάκης,gender,female,negative_approval,69.3248,2019,Q2,high
Κυριάκος Μητσοτάκης,leader_approval,Έγκριση/αποδοχή: Κυριάκος Μητσοτάκης,gender,female,positive_approval,30.6752,2019,Q2,high
,leader_trait,Σταθερότητα χώρας,gender,female,both,2.5108,2019,Q2,high
,leader_trait,Σταθερότητα χώρας,gender,female,Αλέξης Τσίπρας,50.4989,2019,Q2,high
,leader_trait,Σταθερότητα χώρας,gender,female,Κυριάκος Μητσοτάκης,46.9903,2019,Q2,high
,leader_trait,Κοντά στους πολίτες,gender,female,both,1.0492,2019,Q2,high
,leader_trait,Κοντά στους πολίτες,gender,female,Αλέξης Τσίπρας,58.876,2019,Q2,high
,leader_trait,Κοντά στους πολίτες,gender,female,Κυριάκος Μητσοτάκης,40.0748,2019,Q2,high
,leader_trait,Ικανότητα στην οικονομία,gender,female,both,4.8599,2019,Q2,high
,leader_trait,Ικανότητα στην οικονομία,gender,female,Αλέξης Τσίπρας,41.1221,2019,Q2,high
,leader_trait,Ικανότητα στην οικονομία,gender,female,Κυριάκος Μητσοτάκης,54.018,2019,Q2,high
,leader_trait,Εντιμότητα / ακεραιότητα,gender,female,both,0.3452,2019,Q2,high
,leader_trait,Εντιμότητα / ακεραιότητα,gender,female,Αλέξης Τσίπρας,53.3911,2019,Q2,high
,leader_trait,Εντιμότητα / ακεραιότητα,gender,female,Κυριάκος Μητσοτάκης,46.2637,2019,Q2,high
,leader_trait,Δίνει ελπίδα,gender,female,Αλέξης Τσίπρας,55.4682,2019,Q2,high
,leader_trait,Δίνει ελπίδα,gender,female,Κυριάκος Μητσοτάκης,44.5318,2019,Q2,high
,leader_trait,Σεβασμός από Ευρωπαίους ηγέτες,gender,female,both,4.1842,2019,Q2,high
,leader_trait,Σεβασμός από Ευρωπαίους ηγέτες,gender,female,Αλέξης Τσίπρας,51.5694,2019,Q2,high
,leader_trait,Σεβασμός από Ευρωπαίους ηγέτες,gender,female,Κυριάκος Μητσοτάκης,44.2464,2019,Q2,high
,leader_trait,Πατριωτισμός,gender,female,both,6.6531,2019,Q2,high
,leader_trait,Πατριωτισμός,gender,female,Αλέξης Τσίπρας,45.1342,2019,Q2,high
,leader_trait,Πατριωτισμός,gender,female,Κυριάκος Μητσοτάκης,48.2128,2019,Q2,high
,leader_trait,Ηγετικά προσόντα / ισχυρός ηγέτης,gender,female,both,0.9632,2019,Q2,high
,leader_trait,Ηγετικά προσόντα / ισχυρός ηγέτης,gender,female,Αλέξης Τσίπρας,64.6902,2019,Q2,high
,leader_trait,Ηγετικά προσόντα / ισχυρός ηγέτης,gender,female,Κυριάκος Μητσοτάκης,34.3466,2019,Q2,high
Αλέξης Τσίπρας,leader_approval,Έγκριση/αποδοχή: Αλέξης Τσίπρας,gender,male,negative_approval,68.4844,2019,Q2,high
Αλέξης Τσίπρας,leader_approval,Έγκριση/αποδοχή: Αλέξης Τσίπρας,gender,male,positive_approval,31.5156,2019,Q2,high
Κυριάκος Μητσοτάκης,leader_approval,Έγκριση/αποδοχή: Κυριάκος Μητσοτάκης,gender,male,negative_approval,68.5432,2019,Q2,high
Κυριάκος Μητσοτάκης,leader_approval,Έγκριση/αποδοχή: Κυριάκος Μητσοτάκης,gender,male,positive_approval,31.4568,2019,Q2,high
,leader_trait,Σταθερότητα χώρας,gender,male,both,2.519,2019,Q2,high
,leader_trait,Σταθερότητα χώρας,gender,male,Αλέξης Τσίπρας,46.1444,2019,Q2,high
,leader_trait,Σταθερότητα χώρας,gender,male,Κυριάκος Μητσοτάκης,51.3366,2019,Q2,high
,leader_trait,Κοντά στους πολίτες,gender,male,both,0.5668,2019,Q2,high
,leader_trait,Κοντά στους πολίτες,gender,male,Αλέξης Τσίπρας,52.6268,2019,Q2,high
,leader_trait,Κοντά στους πολίτες,gender,male,Κυριάκος Μητσοτάκης,46.8064,2019,Q2,high
,leader_trait,Ικανότητα στην οικονομία,gender,male,both,8.1725,2019,Q2,high
,leader_trait,Ικανότητα στην οικονομία,gender,male,Αλέξης Τσίπρας,30.4051,2019,Q2,high
,leader_trait,Ικανότητα στην οικονομία,gender,male,Κυριάκος Μητσοτάκης,61.4224,2019,Q2,high
,leader_trait,Εντιμότητα / ακεραιότητα,gender,male,both,0.5619,2019,Q2,high
,leader_trait,Εντιμότητα / ακεραιότητα,gender,male,Αλέξης Τσίπρας,41.8762,2019,Q2,high
,leader_trait,Εντιμότητα / ακεραιότητα,gender,male,Κυριάκος Μητσοτάκης,57.5619,2019,Q2,high
,leader_trait,Δίνει ελπίδα,gender,male,both,0.7958,2019,Q2,high
,leader_trait,Δίνει ελπίδα,gender,male,Αλέξης Τσίπρας,47.3796,2019,Q2,high
,leader_trait,Δίνει ελπίδα,gender,male,Κυριάκος Μητσοτάκης,51.8246,2019,Q2,high
,leader_trait,Σεβασμός από Ευρωπαίους ηγέτες,gender,male,both,5.6222,2019,Q2,high
,leader_trait,Σεβασμός από Ευρωπαίους ηγέτες,gender,male,Αλέξης Τσίπρας,44.4768,2019,Q2,high
,leader_trait,Σεβασμός από Ευρωπαίους ηγέτες,gender,male,Κυριάκος Μητσοτάκης,49.9011,2019,Q2,high
,leader_trait,Πατριωτισμός,gender,male,both,12.7602,2019,Q2,high
,leader_trait,Πατριωτισμός,gender,male,Αλέξης Τσίπρας,35.3273,2019,Q2,high
,leader_trait,Πατριωτισμός,gender,male,Κυριάκος Μητσοτάκης,51.9125,2019,Q2,high
,leader_trait,Ηγετικά προσόντα / ισχυρός ηγέτης,gender,male,both,1.2641,2019,Q2,high
,leader_trait,Ηγετικά προσόντα / ισχυρός ηγέτης,gender,male,Αλέξης Τσίπρας,59.0618,2019,Q2,high
,leader_trait,Ηγετικά προσόντα / ισχυρός ηγέτης,gender,male,Κυριάκος Μητσοτάκης,39.6742,2019,Q2,high
Αλέξης Τσίπρας,leader_approval,Έγκριση/αποδοχή: Αλέξης Τσίπρας,age_group,18-24,negative_approval,74.8212,2019,Q2,medium
Αλέξης Τσίπρας,leader_approval,Έγκριση/αποδοχή: Αλέξης Τσίπρας,age_group,18-24,positive_approval,25.1788,2019,Q2,medium
Κυριάκος Μητσοτάκης,leader_approval,Έγκριση/αποδοχή: Κυριάκος Μητσοτάκης,age_group,18-24,negative_approval,74.3391,2019,Q2,medium
Κυριάκος Μητσοτάκης,leader_approval,Έγκριση/αποδοχή: Κυριάκος Μητσοτάκης,age_group,18-24,positive_approval,25.6609,2019,Q2,medium
,leader_trait,Σταθερότητα χώρας,age_group,18-24,both,2.0701,2019,Q2,low
,leader_trait,Σταθερότητα χώρας,age_group,18-24,Αλέξης Τσίπρας,44.0832,2019,Q2,low
,leader_trait,Σταθερότητα χώρας,age_group,18-24,Κυριάκος Μητσοτάκης,53.8467,2019,Q2,low
,leader_trait,Κοντά στους πολίτες,age_group,18-24,Αλέξης Τσίπρας,51.3944,2019,Q2,low
