party,group_type,group,vote_share_weighted_valid,survey_year,survey_quarter,sample_confidence,n_valid_vote_unweighted,include_in_time_trend
other_party,gender,female,21.2483,2019,Q2,high,794,True
ΑΝΕΛ,gender,female,0.7727,2019,Q2,high,794,True
Ελληνική Λύση,gender,female,0.9927,2019,Q2,high,794,True
ΚΚΕ,gender,female,2.9355,2019,Q2,high,794,True
ΜέΡΑ25,gender,female,0.2501,2019,Q2,high,794,True
ΝΔ,gender,female,28.5806,2019,Q2,high,794,True
ΠΑΣΟΚ/ΚΙΝΑΛ,gender,female,5.1496,2019,Q2,high,794,True
Πλεύση Ελευθερίας,gender,female,0.5988,2019,Q2,high,794,True
Ποτάμι,gender,female,1.3635,2019,Q2,high,794,True
ΣΥΡΙΖΑ,gender,female,33.1371,2019,Q2,high,794,True
Χρυσή Αυγή,gender,female,4.9711,2019,Q2,high,794,True
other_party,gender,male,15.8057,2019,Q2,high,816,True
ΑΝΕΛ,gender,male,0.8564,2019,Q2,high,816,True
Ελληνική Λύση,gender,male,2.869,2019,Q2,high,816,True
ΚΚΕ,gender,male,3.8143,2019,Q2,high,816,True
ΜέΡΑ25,gender,male,0.2614,2019,Q2,high,816,True
ΝΔ,gender,male,31.2455,2019,Q2,high,816,True
ΠΑΣΟΚ/ΚΙΝΑΛ,gender,male,8.1874,2019,Q2,high,816,True
Πλεύση Ελευθερίας,gender,male,0.6934,2019,Q2,high,816,True
Ποτάμι,gender,male,0.6671,2019,Q2,high,816,True
ΣΥΡΙΖΑ,gender,male,27.0289,2019,Q2,high,816,True
Χρυσή Αυγή,gender,male,8.5709,2019,Q2,high,816,True
other_party,age_group,18-24,25.7359,2019,Q2,medium,195,True
ΑΝΕΛ,age_group,18-24,0.546,2019,Q2,medium,195,True
Ελληνική Λύση,age_group,18-24,1.5188,2019,Q2,medium,195,True
ΚΚΕ,age_group,18-24,4.9266,2019,Q2,medium,195,True
ΝΔ,age_group,18-24,25.8251,2019,Q2,medium,195,True
ΠΑΣΟΚ/ΚΙΝΑΛ,age_group,18-24,5.8704,2019,Q2,medium,195,True
Ποτάμι,age_group,18-24,0.4936,2019,Q2,medium,195,True
ΣΥΡΙΖΑ,age_group,18-24,23.6763,2019,Q2,medium,195,True
Χρυσή Αυγή,age_group,18-24,11.4073,2019,Q2,medium,195,True
other_party,age_group,25-39,19.0403,2019,Q2,high,346,True
ΑΝΕΛ,age_group,25-39,0.6535,2019,Q2,high,346,True
Ελληνική Λύση,age_group,25-39,1.2003,2019,Q2,high,346,True
ΚΚΕ,age_group,25-39,6.2289,2019,Q2,high,346,True
ΜέΡΑ25,age_group,25-39,0.2888,2019,Q2,high,346,True
ΝΔ,age_group,25-39,29.4207,2019,Q2,high,346,True
ΠΑΣΟΚ/ΚΙΝΑΛ,age_group,25-39,6.5243,2019,Q2,high,346,True
Πλεύση Ελευθερίας,age_group,25-39,0.2888,2019,Q2,high,346,True
Ποτάμι,age_group,25-39,0.841,2019,Q2,high,346,True
ΣΥΡΙΖΑ,age_group,25-39,26.8959,2019,Q2,high,346,True
Χρυσή Αυγή,age_group,25-39,8.6175,2019,Q2,high,346,True
other_party,age_group,40-54,22.0015,2019,Q2,high,406,True
ΑΝΕΛ,age_group,40-54,0.8002,2019,Q2,high,406,True
Ελληνική Λύση,age_group,40-54,2.571,2019,Q2,high,406,True
ΚΚΕ,age_group,40-54,3.4982,2019,Q2,high,406,True
ΜέΡΑ25,age_group,40-54,0.2502,2019,Q2,high,406,True
ΝΔ,age_group,40-54,28.8964,2019,Q2,high,406,True
ΠΑΣΟΚ/ΚΙΝΑΛ,age_group,40-54,4.8896,2019,Q2,high,406,True
Πλεύση Ελευθερίας,age_group,40-54,0.5169,2019,Q2,high,406,True
Ποτάμι,age_group,40-54,1.3006,2019,Q2,high,406,True
ΣΥΡΙΖΑ,age_group,40-54,27.7159,2019,Q2,high,406,True
Χρυσή Αυγή,age_group,40-54,7.5594,2019,Q2,high,406,True
other_party,age_group,55+,14.4855,2019,Q2,high,663,True
ΑΝΕΛ,age_group,55+,0.9593,2019,Q2,high,663,True
Ελληνική Λύση,age_group,55+,1.7661,2019,Q2,high,663,True
ΚΚΕ,age_group,55+,1.4555,2019,Q2,high,663,True
ΜέΡΑ25,age_group,55+,0.3011,2019,Q2,high,663,True
ΝΔ,age_group,55+,31.6326,2019,Q2,high,663,True
ΠΑΣΟΚ/ΚΙΝΑΛ,age_group,55+,7.9989,2019,Q2,high,663,True
Πλεύση Ελευθερίας,age_group,55+,1.0577,2019,Q2,high,663,True
Ποτάμι,age_group,55+,1.0638,2019,Q2,high,663,True
ΣΥΡΙΖΑ,age_group,55+,35.3393,2019,Q2,high,663,True
Χρυσή Αυγή,age_group,55+,3.9403,2019,Q2,high,663,True
other_party,education_group,Advanced Technological Educational Institute (public institutions),19.0084,2019,Q2,medium,146,True
ΑΝΕΛ,education_group,Advanced Technological Educational Institute (public institutions),0.4064,2019,Q2,medium,146,True
Ελληνική Λύση,education_group,Advanced Technological Educational Institute (public institutions),2.3122,2019,Q2,medium,146,True
ΚΚΕ,education_group,Advanced Technological Educational Institute (public institutions),4.4693,2019,Q2,medium,146,True
ΜέΡΑ25,education_group,Advanced Technological Educational Institute (public institutions),0.6465,2019,Q2,medium,146,True
ΝΔ,education_group,Advanced Technological Educational Institute (public institutions),36.4421,2019,Q2,medium,146,True
ΠΑΣΟΚ/ΚΙΝΑΛ,education_group,Advanced Technological Educational Institute (public institutions),6.7689,2019,Q2,medium,146,True
Πλεύση Ελευθερίας,education_group,Advanced Technological Educational Institute (public institutions),2.9214,2019,Q2,medium,146,True
Ποτάμι,education_group,Advanced Technological Educational Institute (public institutions),2.0546,2019,Q2,medium,146,True
ΣΥΡΙΖΑ,education_group,Advanced Technological Educational Institute (public institutions),17.7732,2019,Q2,medium,146,True
Χρυσή Αυγή,education_group,Advanced Technological Educational Institute (public institutions),7.197,2019,Q2,medium,146,True
other_party,education_group,I don't want to answer,34.4677,2019,Q2,low,31,True
ΑΝΕΛ,education_group,I don't want to answer,3.5665,2019,Q2,low,31,True
Ελληνική Λύση,education_group,I don't want to answer,5.3435,2019,Q2,low,31,True
ΝΔ,education_group,I don't want to answer,34.4738,2019,Q2,low,31,True
ΠΑΣΟΚ/ΚΙΝΑΛ,education_group,I don't want to answer,3.5665,2019,Q2,low,31,True
ΣΥΡΙΖΑ,education_group,I don't want to answer,5.5028,2019,Q2,low,31,True
Χρυσή Αυγή,education_group,I don't want to answer,13.0792,2019,Q2,low,31,True
other_party,education_group,high_education,17.9803,2019,Q2,high,721,True
ΑΝΕΛ,education_group,high_education,0.7199,2019,Q2,high,721,True
Ελληνική Λύση,education_group,high_education,1.5785,2019,Q2,high,721,True
ΚΚΕ,education_group,high_education,3.2514,2019,Q2,high,721,True
ΝΔ,education_group,high_education,29.2604,2019,Q2,high,721,True
ΠΑΣΟΚ/ΚΙΝΑΛ,education_group,high_education,7.8311,2019,Q2,high,721,True
Πλεύση Ελευθερίας,education_group,high_education,0.2327,2019,Q2,high,721,True
Ποτάμι,education_group,high_education,1.1846,2019,Q2,high,721,True
ΣΥΡΙΖΑ,education_group,high_education,33.9872,2019,Q2,high,721,True
Χρυσή Αυγή,education_group,high_education,3.9739,2019,Q2,high,721,True
other_party,education_group,low_education,10.3487,2019,Q2,low,24,True
ΑΝΕΛ,education_group,low_education,4.1181,2019,Q2,low,24,True
